"title","director","cast","country","date_added","release_year","rating","duration","listed_in","description"
"Transmilitary","Gabriel Silverman","Laila Ireland, Logan Ireland, Jennifer Peace, El Cook, Sue Fulton","","",2019,"16+","93 min","Documentary, Special Interest","At a time when transgender people are banned from serving in the U.S. military, four transgender troops risking discharge fight to attain the freedom they so fiercely protect. 2018 SXSW Audience Award Winner, Best Documentary."
"Tracktown","Jeremy Teicher, Alexi Pappas","Alexi Pappas, Chase Offerle, Rachel Dratch, Andy Buckley, Rebecca Friday, Sasha Spencer Atwood, Remy Teicher, Nick Symmonds","","",2017,"18+","89 min","Comedy, Drama, Sports","A young long-distance runner twists her ankle during her first Olympic Trials and must do something she's never done before: take a day off. Los Angeles Film Festival, RiverRun International Film Festival"
"Toxification","Rehmat Rayatt, Leva Kwestany","Darshan Singh Rudel, Inderjeet Singh Jaijee, Gurpartap Singh Pannu, Amarjit Singh, Balbir Singh, Dr Nicola Cannon, Ranbir Singh","","",2019,"13+","65 min","Documentary","Farmers put food on our plates, but the profession is a challenging one. In the state of Punjab in India, farmer suicide is one of the biggest social issues along with an overwhelming drug problem and lack of resources; it seems as if there is no hope. On the sidelines though, a sustainable organic movement grows, with the hope of a future where farmers can once again be masters of their land."
"Tough Guy: The Bob Probert Story","Geordie Day","Bob Probert, Joe Kocur, Don Cherry, Tie Domi, Jeremy Roenick, Chris Chelios","","",2019,"16+","93 min","Documentary, Drama, Sports","An intimate portrait of legendary NHL tough guy Bob Probert told through exclusive interviews with his family, friends, teammates and rivals, featuring game footage, news reports, and never before seen home movies."
"Touch Chesi Chudu","Vikram Sirikonda","Ravi Teja, Raashi Khanna, Seerat Kapoor","India","",2018,"13+","142 min","Drama, International, Romance","Karthikeya(Ravi Teja) is a businessman who keeps his family first before anything. He has a tough time convincing Pushpa(Raashi Khanna) whom he met in a match making, to marry him and when things seem to be going fine, he suddenly comes across Irfan, a criminal with whom he shares a dreaded past. Who is Irfan? What is the past that connects both of them? What is the shocking fact revealed later?"
"Tone Bell: Can't Cancel This","Tone Bell","Tone Bell","","",2019,"18+","71 min","Arts, Entertainment, and Culture, Comedy, Special Interest","Tone simply wants to live in a world where Alaska is cold, student loans are paid, and jelly is free. He's finally found the one place his uncompromising view of this unfair world can't be stopped."
"Todo Incluido","Roberto Ángel Salcedo","Fausto Mata, Cuquín Victoria, Marío Peguero","","",2015,"13+","100 min","Comedy","A group of insurance employees go to a sales convention at a beach resort in Punta Cana, where they get involved in various situations."
"To Whom It May Concern","Manu Boyer","Dawn Olivieri, Wilmer Valderrama, Paloma Guzmán, Skipp Sudduth, Tom Degnan, Camille Saviola","","",2021,"16+","95 min","Drama, Romance","Anna is 30, a bartender, beautiful, sexy and emotionally dysfunctional. Tired of life and planning to commit suicide, she begins making her own funeral arrangements. When Anna meets Sam, the boyfriend of her neighbor, something sparks between them."
"To Let","Ra Chezhiyan","Santhosh Sreeram, Sheela Rajkumar, Darun, Aadhira Pandiyalakshmi","","",2019,"ALL","95 min","Drama, International","The film speaks of the difficulty faced by those majority of landless people fighting to get a house for rent at their cost and basic needs."
"TJ: January 3rd","Jonathan Miller","TJ","","",2020,"18+","57 min","Arts, Entertainment, and Culture, Comedy, Special Interest","In his debut special taped in Brooklyn, Haitian born stand-up comedian, TJ, tackles with his conversational style the perils of English as a third language, evil children, race, and the metoo movement. No subject is off limits in this smart, edgy, and, most of all, hilarious debut."
"Tio Papi","Fro Rojas","Joey Dedio, Frankie Faison, Kelly McGillis, Franky G","","",2013,"13+","87 min","Kids","Wild bachelor Ray Ray Dominguez dreams of nothing more than a carefree life of indulgence in Miami, but his plans are abruptly changed when he becomes the legal guardian of his sister's six children."
"Tiger Zinda Hai","Ali Abbas Zafar","Salman Khan, Katrina Kaif, Paresh Rawal, Girish Karnad, Anant Vidhaat, Kumud Kumar Mishra, Angad Bedi, Sajjad Delafrooz","India","",2017,"13+","159 min","Action, Drama, International","When a group of Indian and Pakistani nurses are held hostage in Iraq by the militant Abu Usman, Indian intelligence (RAW) tracks down the reclusive agent Tiger 8 years after he fled with former Pakistani intelligence (ISI) agent Zoya. Joining forces in the name of humanity, Tiger and Zoya lead a team of RAW and ISI agents to covertly enter the hospital where the nurses are trapped."
"Thunder Run on Baghdad","Jean-Pierre Krief","","","",2013,"13+","132 min","Documentary, International","In these previously unaired images, we discover US military operations from the inside, but also - and more importantly - scenes of splendor of a dictatorship caught up in lies and unprepared for war. Iraqi soldiers, civilians, future insurgents, and journalists retrace the critical year of the invasion, along with members of the US military and reporters who were present during the intervention."
"Thugs Of Hindostan (Hindi)","Vijay Krishna Acharya","Amitabh Bachchan, Aamir Khan, Katrina Kaif, Fatima Sana Shaikh, Md. Zeeshan Ayyub, Ronit Roy, Lloyd Owen, Sharat Saxena, Ila Arun, Gavin Marshall","","",2018,"16+","164 min","Action, Drama, International","A story about one man’s love for his nation and another’s love for power. An epic adventure filled with edge-of-the-seat thrills and war on the seas."
"Thomas Sowell: Common Sense in a Senseless World","Kyle Clark","Jason Riley, Larry Elder, Walter E. Williams, Steven Pinker, Dave Rubin, Eva Moskowitz, Adaecus Brooks, Benjamin Lacasse, Sam Peltzman, Allen R. Sanderson, Eric July, Victor Davis Hanson, Patrick M. Byrne, Aaron Hunsaker, Jennifer Van Laar, Ron Losby","","",2021,"ALL","57 min","Documentary, Talk Show and Variety","Thomas Sowell: Common Sense in a Senseless World traces a life journey that started with an introduction to the Harlem Library and culminated at the esteemed Hoover Institution. The story of one of this era's greatest authors on race, history, and economics is told by The Wall Street Journal's Jason Riley."
"Third Eye Spies","Lance Mungia","Russell Targ, Dean Radin PhD, Uri Geller, Brian Josephson PhD, Hal Puthoff PhD, Stephan A. Schwartz, Edgar Mitchell PhD, Lori Williams","","",2019,"13+","115 min","Documentary, Special Interest","For more than 20 years the CIA studied psychic abilities for use in their top-secret spy program. With previously classified details about ESP now finally coming to light, there can be no more secrets."
"Theatre: A Love Story","Isao Yukisada","Kento Yamazaki, Mayu Matsuoka, Kanichiro, Sairi Ito, Satoru Iguchi","","",2020,"13+","136 min","Drama, International, Romance","Nagata (Yamazaki) is the writer/director of an unpopular theatre troupe. One day, he meets Saki (Matsuoka), a young woman who had come to Tokyo to become an actress, and they fall in love. While Saki sees Nagata's talent and indulges him, he believes that the only way he can make her happy is to succeed as a playwright. But as he struggles to hone his craft, the distance between them grows."
"The Zombie King","Aidan Belizaire","Edward Furlong, Corey Feldman, George McCluskey","United Kingdom","",2013,"16+","96 min","Comedy, Horror","After heartbroken widower Samuel makes a deal with Kalfu, the god of Malevolence. This allows Samuel to live with his dead wife as a zombie, and leads to the destruction of the underworld."
"The World's Greatest Cities Set to Jazz","Mark Knight","","","",2017,"ALL","66 min","Music Videos and Concerts, Special Interest","A soothing jazz-accompanied background video perfect for setting the mood for 'Cocktail Hour' or however you wind down after a stress-filled day. Enjoy mood scenes from New York, Chicago, Los Angeles, the Amalfi Coast and other scenic destinations. Jazz piano background accompaniment sets the mood. Sharecare Windows videos are always included in your Prime membership."
"The Woods: Tales of The X Species Volume 1","Neko Sparks","Jermaine Jackson, Rebekah Dean, Jimmy Flint-Smith, Chloe Tinou","","",2018,"16+","19 min","Horror, Science Fiction","A team of researchers encounter an ancient predator in the woods of New Mexico."
"The Who - Sensation The Story Of Tommy","Martin R Smith","The Who","","",2014,"16+","80 min","Documentary, Music Videos and Concerts","This fascinating film, made with the total co-operation of the band, tells how The Who struggled to create the first Rock Opera, Tommy, and how its success changed their lives."
"The Uncomfortable Truth","Loki Mulholland","Loki Mulholland, Luvaghn Brown, Joan Trumpauer Mulholland","","",2017,"13+","85 min","Documentary, Kids, Special Interest","When the son of Civil Rights Hero, Joan Trumpauer Mulholland, dives into the 400 year history of institutional racism in America he is confronted with the shocking reality that his family helped start it all from the very beginning. A comprehensive and insightful exploration of the origins and history of racism in America told through a very personal and honest story."
"The Trump Prophecy","Stephan Schultze","Chris Nelson, Paulette Todd, Karen Boles, Don Brooks","","",2018,"13+","110 min","Drama, Faith and Spirituality","Witness the true story of one man's personal journey to healing that led to an international prayer movement. Retired firefighter Mark Taylor finds himself in a crisis of faith as he struggles with a diagnosis of PTSD. Everything changes when he experiences a revelation from God. As he works to understand his remarkable experience, he shares his inspirational message of hope and patriotism."
